0	1
0	2
0	15
0	17
0	32
0	33
0	43
0	49
0	60
0	65
0	89
1	50
1	108
1	110
1	116
2	0
2	11
2	72
3	16
3	112
4	14
4	21
4	26
4	40
4	80
5	24
5	56
5	76
5	80
6	28
7	68
8	0
8	6
8	15
8	21
8	71
9	16
9	68
9	76
10	0
10	4
10	68
10	82
10	84
11	50
11	112
12	11
12	14
13	5
13	10
13	60
13	67
15	80
16	1
16	34
16	70
17	0
17	8
17	34
17	74
18	4
18	65
20	36
24	67
24	77
25	6
25	7
25	64
28	64
29	96
31	16
32	0
32	15
32	16
32	73
32	98
33	24
33	37
33	64
33	90
34	0
34	76
34	113
37	96
38	65
39	24
40	0
42	42
44	16
48	71
48	108
51	72
57	0
64	2
64	3
64	13
64	36
65	2
65	8
65	14
66	32
68	3
70	10
70	41
72	16
72	39
77	0
77	64
78	1
80	0
80	4
81	36
82	11
82	40
82	44
83	8
83	36
83	46
96	10
96	14
97	0
100	0
100	11
104	9
107	8
114	17
114	97
116	10
