0	29
0	34
0	51
0	52
0	57
0	75
0	77
0	96
0	115
0	130
0	147
0	154
0	188
0	200
0	201
0	233
1	5
1	16
1	17
1	73
1	74
1	134
1	140
2	5
2	49
2	56
2	64
2	193
3	64
3	109
3	177
4	73
4	138
5	42
5	66
5	108
5	202
6	8
6	27
6	40
6	81
6	164
6	192
7	32
7	162
8	13
8	54
8	66
8	102
8	199
9	70
10	0
10	161
10	228
11	52
11	133
12	71
12	121
14	152
16	1
16	7
16	32
16	47
16	78
16	155
16	193
16	203
17	130
18	9
18	40
18	78
20	2
20	64
21	80
21	90
21	104
21	136
22	64
24	160
24	224
25	4
25	64
25	192
26	65
27	52
28	50
28	194
28	224
32	0
32	26
32	91
32	138
33	52
33	133
33	204
35	16
36	25
36	202
36	224
37	18
37	82
38	17
38	128
40	10
40	18
40	49
40	70
40	84
40	134
41	0
45	16
46	192
47	4
48	9
49	135
49	202
50	9
50	129
51	141
52	69
52	193
56	198
60	131
62	65
64	28
64	41
64	148
65	6
65	91
66	36
66	136
66	138
66	192
67	68
68	8
68	34
68	190
69	18
70	56
72	17
72	21
72	36
72	67
72	128
72	144
72	172
74	17
75	51
78	16
78	32
78	88
80	0
80	35
86	10
88	1
88	134
96	2
96	20
96	132
97	1
97	8
97	16
97	18
97	48
98	80
99	28
100	18
100	192
101	26
102	128
104	2
104	87
104	131
105	0
105	7
105	130
109	24
109	80
120	0
120	2
128	2
128	6
128	21
128	64
128	80
128	83
128	88
128	164
128	202
129	25
129	80
129	99
130	71
131	196
132	1
132	46
132	67
132	241
134	84
136	20
137	64
137	102
138	97
140	194
144	45
147	24
149	106
150	32
150	40
152	0
153	56
155	160
156	33
157	0
160	17
160	67
161	106
162	28
163	92
164	0
164	64
168	68
168	94
169	128
172	0
176	0
177	193
180	2
181	0
181	172
184	128
188	66
192	119
193	4
194	128
197	11
197	18
200	32
200	40
202	0
202	53
205	227
208	35
213	66
217	0
219	0
225	5
226	28
226	68
233	2
233	8
235	18
236	0
236	2
236	34
240	26
